Title,URL,Uploaded,Tags
"Olu请你跳支舞·肖斯塔科维奇第二圆舞曲",https://www.bilibili.com/video/BV1gg411C7nd,2022-08-18,
"Olu梅尔指挥德沃夏克第九交响曲“自新大陆”第四乐章",https://www.bilibili.com/video/BV1QP411y7Uf,2023-05-05,古典音乐
"【超清修复版】(中英字幕)悲惨世界十周年纪念音乐会",https://www.bilibili.com/video/BV1xX4y1F7p6,2021-08-07,
"一名年更UP主的三年：我们是如何快速学习陌生领域的？",https://www.bilibili.com/video/BV1QnGhzpEfF,2025-04-30,
"【老奇】5G，华为，土耳其——我花了两个月，搞懂了5G背后的秘密",https://www.bilibili.com/video/BV1fq4y1g7hq,2021-11-01,
"人过了2022，听歌就得成熟一点",https://www.bilibili.com/video/BV1VR4y1U7t5,2022-12-30,串烧
"爷爷临死前终于让自己成为一个合群的大人",https://www.bilibili.com/video/BV1mD4y1H7tZ,2023-01-16,
"这次相亲没有发挥好,复盘总结经验",https://www.bilibili.com/video/BV1Em4y117Ea,2023-04-29,
"周 处 除 调 休",https://www.bilibili.com/video/BV11J4m1E7x5,2024-04-28,鬼畜
"【前方高能】女人翻译器！",https://www.bilibili.com/video/BV1WV411k7jb,2020-06-16,
"“我不停奔跑，只为追上那个被寄予厚望的自己”|《项脊轩志》课堂实录",https://www.bilibili.com/video/BV19z421o7Wf,2024-04-01,
"【脱口秀/单口喜剧专场】 伊卡洛斯（刘旸教主）",https://www.bilibili.com/video/BV1DN411j7xo,2023-11-27,
"【4K60FPS修复】周杰伦2004无与伦比演唱会 完整版 特效字幕",https://www.bilibili.com/video/BV1bE41127s6,2019-10-22,
"【计算机科学速成课】[40集全/精校] - Crash Course Computer Science",https://www.bilibili.com/video/BV1EW411u7th,2018-03-29,
"【4K60FPS】古巨基、容祖儿《爱得太迟》梦幻联动现场！热闹后的冷清更为孤独",https://www.bilibili.com/video/BV1RT411y7Cv,2023-01-27,
"【巫师】网红与资本简史",https://www.bilibili.com/video/BV1Ja411N7zD,2022-08-17,
"关于抽象话的深度研究：为什么我们无法在网上好好说话？",https://www.bilibili.com/video/BV1Vd4y1b71B,2022-11-11,
"【BA】影史第二！漫威最后的辉煌！万字解析《复仇者联盟4：终局之战》！",https://www.bilibili.com/video/BV11h4y1z76m,2023-10-16,
"【罗肖尼】如何永远学会一个单词？",https://www.bilibili.com/video/BV1ns4y1A7fj,2023-04-23,
"骂总统，骂财阀，骂完却死性不改？看完它才知道韩国电影存在的意义！高分佳作《辩护人》",https://www.bilibili.com/video/BV1y9c4eyEqn,2025-01-14,
"【吸奇侠】《水浒传》王婆的十分完美计划",https://www.bilibili.com/video/BV1o7411v7hY,2020-01-21,
"【HP】盘点《哈利波特与火焰杯》原著中没有被电影拍出来的255个剧情细节！",https://www.bilibili.com/video/BV1cM411J7ix,2023-02-20,Harry Potter
"《你谁啊》| 黑灯单口喜剧专场",https://www.bilibili.com/video/BV1xm411o7aF,2024-03-15,脱口秀
