Provider,Model,Link,Input ($/M),Output ($/M),Request ($/req),Modality,Features,Context Window,Max Output,Created
Anthropic,Claude-Opus-4.8,https://poe.com/claude-opus-4.8,4.2929,21.4646,,"text,image->text","web_search, tools",1048576,128000,2026-05-28
Anthropic,Claude-Opus-4.7,https://poe.com/claude-opus-4.7,4.2929,21.4646,,"text,image->text","web_search, tools",1048576,128000,2026-04-15
Anthropic,Claude-Sonnet-4.6,https://poe.com/claude-sonnet-4.6,2.5758,12.8788,,"text,image->text","web_search, tools",983040,128000,2026-02-05
Anthropic,Claude-Opus-4.6,https://poe.com/claude-opus-4.6,4.2929,21.4646,,"text,image->text","web_search, tools",983040,128000,2026-02-04
Anthropic,Claude-Opus-4.5,https://poe.com/claude-opus-4.5,4.2929,21.4646,,"text,image->text","web_search, tools",196608,64000,2025-11-21
Anthropic,Claude-Haiku-4.5,https://poe.com/claude-haiku-4.5,0.8586,4.2929,,"text,image->text","web_search, tools",192000,64000,2025-10-15
Anthropic,Claude-Sonnet-4.5,https://poe.com/claude-sonnet-4.5,2.5758,12.8788,,"text,image->text","web_search, tools",983040,32768,2025-09-26
Anthropic,Claude-Opus-4.1,https://poe.com/claude-opus-4.1,12.8788,64.3939,,"text,image->text","web_search, tools",196608,32000,2025-08-05
Bytedance,Seedream-4.5,https://poe.com/seedream-4.5,,,,text->text,,,,2025-12-03
Cartesia AI,Cartesia-Ink-Whisper,https://poe.com/cartesia-ink-whisper,,,,text->text,,,,2025-09-11
CerebrasAI,GPT-OSS-120B-CS,https://poe.com/gpt-oss-120b-cs,0.3535,0.7576,,text->text,tools,128000,,2025-08-06
ElevenLabs,ElevenLabs-Music,https://poe.com/elevenlabs-music,,,,text->text,,2000,,2025-08-29
EmpirioLabs AI,Kimi-K3-EL,https://poe.com/kimi-k3-el,3.0303,15.1515,,"text,image,video->text",tools,,,2026-07-16
EmpirioLabs AI,Seed-2.1-Turbo,https://poe.com/seed-2.1-turbo,0.6364,3.1616,,"text,image,video->text",tools,,,2026-07-14
EmpirioLabs AI,Seedream-5.0-Pro,https://poe.com/seedream-5.0-pro,,,,text->text,,,,2026-07-09
EmpirioLabs AI,Step-3.7-Flash,https://poe.com/step-3.7-flash,0.202,1.1616,,"text,image,video->text",tools,,,2026-07-09
EmpirioLabs AI,Seedance-2.0-Mini,https://poe.com/seedance-2.0-mini,,,,text->text,,,,2026-06-24
EmpirioLabs AI,Fugu-Ultra,https://poe.com/fugu-ultra,7.5758,45.4545,,"text,image->text",tools,,,2026-06-23
EmpirioLabs AI,HappyHorse-1.1,https://poe.com/happyhorse-1.1,,,,text->text,,,,2026-06-22
EmpirioLabs AI,Kling-3.0-Turbo,https://poe.com/kling-3.0-turbo,,,,text->text,,,,2026-06-18
EmpirioLabs AI,GLM-5.2-EL,https://poe.com/glm-5.2-el,1.4141,4.4444,,text->text,tools,,,2026-06-16
EmpirioLabs AI,Kimi-K2.7-Code-EL,https://poe.com/kimi-k2.7-code-el,0.9596,4.0404,,"text,image,video->text",tools,,,2026-06-12
EmpirioLabs AI,MiniMax-M3-EL,https://poe.com/minimax-m3-el,0.303,1.2121,,"text,image,video->text",tools,,,2026-06-01
EmpirioLabs AI,Qwen3.7-Plus,https://poe.com/qwen3.7-plus,0.404,1.6162,,"text,image,video->text",tools,,,2026-06-01
EmpirioLabs AI,Grok-Imgn-Video-1.5,https://poe.com/grok-imgn-video-1.5,,,,text->text,,,,2026-05-31
EmpirioLabs AI,Qwen3.7-Max,https://poe.com/qwen3.7-max,2.5253,7.5758,,text->text,tools,,,2026-05-21
