Provider,Bot,Version,Input Points(1k tokens),Output Points(1k tokens),Introduction
Anthropic,https://poe.com/Claude-Haiku-4.5,claude-haiku-4-5-20251001,29,142,"Claude Haiku 4.5 is Anthropic’s fastest and most efficient model, delivering near-frontier intelligence at a fraction of the cost and latency of larger Claude models. Matching Claude Sonnet 4’s performance across reasoning, coding, and computer-use tasks, Haiku 4.5 brings frontier-level capability to real-time and high-volume applications. It introduces extended thinking to the Haiku line, and scores >73% on SWE-bench verified, ranking among the world's best coding models. Supports 200k tokens of context."
Anthropic,https://poe.com/Claude-Opus-4.5,claude-opus-4-5-20251101,142,709,"Claude Opus 4.5 from Anthropic, supports customizable thinking budget (up to 64k tokens) and 200k context window."
Anthropic,https://poe.com/Claude-Sonnet-4.5,claude-sonnet-4-5-20250929,85,425,"Claude Sonnet 4.5 represents a major leap forward in AI capability and alignment. It is the most advanced model released by Anthropic to date, distinguished by dramatic improvements in reasoning, mathematics, and real-world coding. Supports 1m tokens of context."
Google,https://poe.com/Gemini-Deep-Research,,54,320,"Gemini Deep Research plans, executes, and synthesizes complex, multi-step investigations by querying the web and other data to produce detailed, structured reports. Offers best in the world performance on Google's newly released DeepSearchQA benchmark as of December 2025. Be sure to give your entire research request in the initial prompt and include as much detail as you can!"
Google,https://poe.com/Gemini-3-Pro,,54,320,"Gemini 3 Pro is a state-of-the-art model for math, coding, computer use, and long‑horizon agent tasks, delivering top benchmark results including 23.4% on MathArena Apex (up from 1.6%), SOTA on tau-bench, an Elo of 2,439 on LiveCodeBench Pro (vs. 2,234), 72.7% on ScreenSpot‑Pro (~2× the previous best), and a higher mean net worth on Vending‑Bench 2 ($5,478 vs. $3,838). It has a 1M input context window and a max output tokens of 64k."
OpenAI,https://poe.com/GPT-5,gpt-5-2025-08-07,38,300,"OpenAI’s most advanced general model with significantly improved coding skills, long context (400k tokens), and improved instruction following. Supports native vision, and generally has more intelligence than GPT-4.1. Provides a 90% chat history cache discount."
OpenAI,https://poe.com/GPT-5-Chat,gpt-5-chat-latest,,,"ChatGPT-5 points to the non-reasoning model GPT-5 snapshot (gpt-5-chat-latest) currently used in ChatGPT. Supports native vision, 400k tokens of context, and generally has more intelligence than GPT-4.1. Provides a 90% chat history cache discount."
OpenAI,https://poe.com/GPT-5-Codex,gpt-5-codex,,,"GPT-5-Codex is a specialized version of GPT-5 optimized for software engineering and coding workflows. It is designed for both interactive development sessions and long, independent execution of complex engineering tasks. The model supports building projects from scratch, feature development, debugging, large-scale refactoring, and code review. Compared to GPT-5, Codex is more steerable, adheres closely to developer instructions, and produces cleaner, higher-quality code outputs. It supports multimodal inputs such as images or screenshots for UI development and a 400k token context window."
OpenAI,https://poe.com/GPT-5-Pro,gpt-5-pro-2025-10-06,,,"OpenAI's latest flagship model with significantly improved coding skills, long context (400k tokens), and improved instruction following. Supports native vision, and generally has more intelligence than GPT-4.1."
OpenAI,https://poe.com/GPT-5-mini,gpt-5-mini-2025-08-07,,,"GPT-5 mini is a small, fast \u0026 affordable model that matches or beats GPT-4.1 in many intelligence and vision-related tasks. Supports 400k tokens of context. Provides a 90% chat history cache discount."
